,2018,2019,2020,2021,2022
 서울 ,19226,23892,27168,35178,50173
 부산 ,6397,7217,7944,9451,13079
 인천 ,2646,3321,3421,4326,6414
 대구 ,3264,3937,4116,5284,7260
 광주 ,1457,1592,1686,2251,3447
 대전 ,1627,2013,2229,2816,4358
 울산 ,1802,2087,1913,2422,3194
 경기 ,15135,18439,19833,26030,36664
 강원 ,1040,1295,1468,1867,2521
 충북 ,900,1136,1283,1722,2484
 충남 ,1476,1779,1850,2552,3377
 전북 ,907,1126,1317,1695,2549
 전남 ,768,1010,1111,1474,2037
 경북 ,1071,1344,1424,1885,2827
 경남 ,2299,2757,3151,4390,5815
 제주 ,593,772,986,1293,1647
 세종 ,301,449,619,917,1426
